,num_goals,branch,time,branch_train,score,episode_length
0,8,"[4, 4, 4]",20,"[4, 4, 4]",11.962000000000002,14
663,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",9.566,13
673,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",8.664200000000001,15
672,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",11.566000000000003,14
671,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",11.604,17
670,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",7.166000000000001,14
669,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",9.364200000000004,16
668,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",5.884,15
667,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",-3.92,18
666,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",7.1502,12
665,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",7.175960000000001,11
664,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",4.663999999999999,15
662,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",-0.8900000000000001,14
675,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",5.213979999999999,12
661,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",9.566000000000003,13
660,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",9.39396,13
659,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",11.565999999999999,14
658,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",9.568000000000001,12
657,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",9.586000000000002,14
656,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",9.36998,13
655,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",7.366,13
654,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",11.784,15
653,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",7.365999999999999,13
652,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",9.388,14
674,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",7.32,14
676,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",11.786000000000001,14
1,8,"[4, 4, 4]",20,"[4, 4, 4]",9.362000000000004,16
689,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",9.611979999999999,13
699,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",11.526,12
698,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",9.326,12
697,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",7.15196,12
696,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",7.168,13
695,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",9.36998,13
694,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",5.0120000000000005,13
693,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",11.782000000000002,16
692,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",9.606000000000002,15
691,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",7.59196,12
690,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",7.207999999999999,15
688,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",4.991959999999999,14
677,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",9.58798,14
687,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",7.364,14
686,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",-1.61002,13
685,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",9.388,14
684,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",-2.498,17
683,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",9.34998,12
682,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",9.391979999999998,13
681,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",7.128,11
680,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",11.982000000000003,15
679,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",4.946199999999998,14
678,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",-5.598,17
651,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",7.1702,13
650,8,"[4, 4, 4]",20,"[4, 4, 4, 4]",7.19398,12
25,8,"[4, 4, 4]",20,"[4, 4, 4]",7.207999999999998,15
27,8,"[4, 4, 4]",20,"[4, 4, 4]",11.5779002,12
23,8,"[4, 4, 4]",20,"[4, 4, 4]",9.39,13
22,8,"[4, 4, 4]",20,"[4, 4, 4]",7.385999999999999,14
21,8,"[4, 4, 4]",20,"[4, 4, 4]",11.54798,13
20,8,"[4, 4, 4]",20,"[4, 4, 4]",7.12798,12
19,8,"[4, 4, 4]",20,"[4, 4, 4]",9.409980000000001,15
18,8,"[4, 4, 4]",20,"[4, 4, 4]",7.193980000000001,12
17,8,"[4, 4, 4]",20,"[4, 4, 4]",7.1899999999999995,13
16,8,"[4, 4, 4]",20,"[4, 4, 4]",7.1659999999999995,14
15,8,"[4, 4, 4]",20,"[4, 4, 4]",11.562000000000003,16
14,8,"[4, 4, 4]",20,"[4, 4, 4]",11.726199999999999,12
13,8,"[4, 4, 4]",20,"[4, 4, 4]",7.1959599999999995,12
12,8,"[4, 4, 4]",20,"[4, 4, 4]",11.56998,13
11,8,"[4, 4, 4]",20,"[4, 4, 4]",9.408000000000005,15
10,8,"[4, 4, 4]",20,"[4, 4, 4]",9.368,13
9,8,"[4, 4, 4]",20,"[4, 4, 4]",7.146000000000001,13
8,8,"[4, 4, 4]",20,"[4, 4, 4]",9.41396,14
7,8,"[4, 4, 4]",20,"[4, 4, 4]",9.326,12
6,8,"[4, 4, 4]",20,"[4, 4, 4]",11.568200000000001,14
5,8,"[4, 4, 4]",20,"[4, 4, 4]",11.588000000000001,14
4,8,"[4, 4, 4]",20,"[4, 4, 4]",5.190000000000001,12
3,8,"[4, 4, 4]",20,"[4, 4, 4]",7.1959599999999995,12
24,8,"[4, 4, 4]",20,"[4, 4, 4]",7.166,14
26,8,"[4, 4, 4]",20,"[4, 4, 4]",9.386000000000001,15
38,8,"[4, 4, 4]",20,"[4, 4, 4]",9.364000000000003,15
39,8,"[4, 4, 4]",20,"[4, 4, 4]",11.586000000000002,15
49,8,"[4, 4, 4]",20,"[4, 4, 4]",9.374180000000003,12
48,8,"[4, 4, 4]",20,"[4, 4, 4]",9.566,13
47,8,"[4, 4, 4]",20,"[4, 4, 4]",11.582000000000003,17
46,8,"[4, 4, 4]",20,"[4, 4, 4]",9.326,12
45,8,"[4, 4, 4]",20,"[4, 4, 4]",5.212000000000001,12
44,8,"[4, 4, 4]",20,"[4, 4, 4]",9.384,16
43,8,"[4, 4, 4]",20,"[4, 4, 4]",9.326,12
42,8,"[4, 4, 4]",20,"[4, 4, 4]",7.166,14
41,8,"[4, 4, 4]",20,"[4, 4, 4]",11.588000000000001,14
40,8,"[4, 4, 4]",20,"[4, 4, 4]",7.186000000000001,15
2,8,"[4, 4, 4]",20,"[4, 4, 4]",5.147999999999999,11
37,8,"[4, 4, 4]",20,"[4, 4, 4]",9.391980000000002,13
36,8,"[4, 4, 4]",20,"[4, 4, 4]",9.34798,13
35,8,"[4, 4, 4]",20,"[4, 4, 4]",6.786,14
34,8,"[4, 4, 4]",20,"[4, 4, 4]",9.325999999999999,12
33,8,"[4, 4, 4]",20,"[4, 4, 4]",7.21198,14
32,8,"[4, 4, 4]",20,"[4, 4, 4]",9.408000000000001,15
31,8,"[4, 4, 4]",20,"[4, 4, 4]",9.378160000000001,11
30,8,"[4, 4, 4]",20,"[4, 4, 4]",11.57196,13
29,8,"[4, 4, 4]",20,"[4, 4, 4]",9.384000000000004,16
28,8,"[4, 4, 4]",20,"[4, 4, 4]",9.402000000000001,18
53,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",7.566000000000001,12
700,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",9.389980000000001,14
701,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",7.387979999999998,14
51,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",9.522,13
738,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",9.38998,14
728,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",9.326200000000002,13
729,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",7.348000000000001,11
730,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",7.15198,11
731,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",9.56798,13
732,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",11.584000000000001,16
733,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",9.346,13
734,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",11.565999999999999,14
735,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",7.146199999999999,14
736,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",6.207979999999999,15
737,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",9.566,13
739,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",9.366000000000003,14
702,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",9.390000000000002,13
740,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",11.984000000000002,14
741,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",11.567980000000002,14
742,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",11.546000000000001,13
743,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",4.950000000000001,11
744,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",7.146,13
745,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",9.524,12
746,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",11.764000000000001,14
747,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",7.388,13
748,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",9.444,12
749,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",9.346,13
727,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",7.15198,11
726,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",9.564,14
725,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",11.591959999999998,14
724,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",4.97818,10
703,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",4.971979999999999,12
704,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",7.191979999999999,13
705,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",11.56998,13
706,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",9.5262,12
707,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",11.530179999999998,12
708,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",9.3682,14
709,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",9.386,15
710,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",9.586000000000002,14
711,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",5.150199999999999,11
712,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",11.55198,11
713,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",4.95618,10
714,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",5.284000000000001,15
715,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",9.364000000000004,15
716,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",7.148000000000001,12
717,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",7.1282000000000005,12
718,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",4.963999999999999,15
719,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",7.209979999999999,15
720,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",7.145999999999999,13
721,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",11.747979999999998,12
722,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",9.586000000000002,14
723,8,"[4, 4, 4, 4]",20,"[4, 4, 4, 4]",9.58998,13
50,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",7.169980000000001,13
52,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",9.324000000000002,13
76,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",11.560000000000002,17
75,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",11.56798,14
79,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",9.364,15
80,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",9.346000000000002,13
81,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",7.189979999999999,14
82,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",9.388000000000002,14
83,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",9.348200000000002,13
84,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",7.13418,10
85,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",1.9119799999999993,14
86,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",9.344200000000004,15
87,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",9.406000000000002,16
88,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",9.544199999999998,14
89,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",7.208,15
90,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",9.566,13
91,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",11.724,12
92,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",9.388,14
93,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",7.385999999999999,14
94,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",9.404,17
95,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",7.188,14
96,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",7.168000000000002,13
97,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",7.2059799999999985,17
77,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",9.346200000000003,14
74,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",9.368000000000002,13
99,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",9.408000000000001,15
73,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",9.568,12
54,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",11.564000000000002,15
55,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",11.564000000000002,15
56,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",9.3282,12
57,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",11.569980000000001,13
58,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",7.212,13
59,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",9.371980000000002,12
60,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",7.39198,12
61,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",9.344,14
62,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",9.56798,13
63,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",11.766000000000002,13
64,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",9.344000000000001,14
65,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",7.188000000000001,14
66,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",9.408000000000001,15
67,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",7.209980000000001,15
68,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",9.406,16
69,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",7.168,13
70,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",7.17,12
71,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",11.784000000000002,15
72,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",9.366,14
98,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",4.97198,12
78,8,"[4, 4, 4, 4]",20,"[4, 4, 4]",7.210000000000002,14
104,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4]",7.34798,12
774,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",9.585999999999999,14
772,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",4.963999999999999,15
771,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",5.188000000000001,13
770,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",7.1462,14
769,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",9.50598,11
768,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",8.704,16
767,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",7.1521799999999995,12
766,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",7.368,12
765,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",9.549980000000001,11
764,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",7.167999999999999,13
763,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",11.566,14
762,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",6.91398,13
761,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",11.564000000000002,15
760,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",9.584000000000003,15
759,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",2.7719999999999994,11
758,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",11.96598,13
757,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",9.366,14
756,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",11.566,14
755,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",-0.3860200000000006,12
754,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",5.210000000000001,13
753,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",7.188,14
752,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",11.764000000000001,14
773,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",9.404,17
775,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",9.586000000000002,14
750,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",9.406000000000004,16
776,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",9.367980000000003,14
797,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",7.208,15
796,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",7.381999999999999,16
795,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",9.390000000000002,13
794,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",5.171980000000001,11
793,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",9.363999999999999,15
792,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",7.368000000000002,12
791,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",7.210000000000001,14
790,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",-3.800000000000001,19
789,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",9.348200000000002,13
788,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",9.34998,12
787,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",7.168,13
786,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",2.7561799999999996,10
785,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",9.368000000000002,13
784,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",7.403999999999999,16
783,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",11.58998,14
782,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",7.3462,13
781,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",11.9662,13
780,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",5.19,12
779,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",9.328000000000001,11
778,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",4.983999999999998,16
777,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",7.6080000000000005,13
751,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4, 4]",9.368000000000002,13
148,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4]",7.189999999999999,13
103,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4]",9.364,15
124,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4]",9.388000000000003,14
122,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4]",7.604000000000002,15
121,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4]",7.1899999999999995,13
120,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4]",9.530180000000001,11
119,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4]",11.589979999999999,14
118,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4]",9.364000000000003,15
117,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4]",7.1539600000000005,11
116,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4]",9.408000000000001,15
115,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4]",7.19198,13
114,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4]",9.38998,14
113,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4]",9.389980000000001,14
112,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4]",7.164000000000001,15
111,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4]",9.611979999999999,13
110,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4]",9.34998,12
109,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4]",9.410000000000004,14
108,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4]",4.867999999999999,12
107,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4]",9.37198,12
106,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4]",7.156159999999999,11
105,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4]",11.544,14
100,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4]",11.567980000000002,14
101,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4]",9.366,14
102,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4]",7.168,13
123,8,"[4, 4, 4, 4, 4]",20,"[4, 4, 4]",11.584000000000003,16
